word	formalized_word
ankx	anaknya
annnnjjjjjjrrrr	anjir
antarn	antarkan
anter	antar
anterin	antar
anterin	antarkan
antr	antar
anugrah	anugerah
anyeng	anjing
ap	apa
ap2	apa-apa
apa"	apa-apa
apa2	apa-apa
apa2nya	apa-apanya
apaa	apa
apaaa	apa
apaaan	apaan
apaalahh	apalah
apaan	apa
apah	apa
apain	apai
apal	hapal
apalagiii	apalagi
apalai	apalagi
apalg	apalagi
apalgi	apalagi
apasih	apa sih
apasihhh	apasih
ape	apa
apes	sial
aph	apa
apikkkk	apik
aplikasi'y	aplikasinya
aplikasiin	mengaplikasikan
aplikasiny	aplikasinya
aplks	aplikasi
aplot	unggah
apo	apa
appa	apa
applikasi	aplikasi
aps	apa
apun	apapun
apus	hapus
apva	apa
aq	aku
aq	saya
aqu	aku
aquwh	aku
arab2	arab-arab
arghhh	ah
arisanx	arisannya
arisany	arisannya
arisn	arisan
arissn	arisan
arosan	arisan
arsannya	arisannya
arsn	arisan
artis"	artis-artis
artis2	artis-artis
artisnyaa	artisnya
artist"	artis-artis
artix	artinya
asap	sesegera mungkin
asbun	asal bunyi
aseek	asyik
asekk	asyik
aseknya	asyiknya
asem	asam
asiiikkk	asik
asikkk	asik
asliii	asli
asliiii	asli
asliiiii	asli
aslinyo	aslinya
asoy	asyik
aspal	asli tetapi palsu
assiiik	asik
astafirullah	astagfirullah
astagaa	astaga
astagaaa	astaga
astagaaaa	astaga
astagaaaaaa	astaga
astagaaaaaaaa	astaga
astagfirrullah	astagfirullah
astagfirullh	astagfirullah
astauviruloh	astagfirullah
astgfrlh	astagfirullah
astgfrullah	astagfirullah
astrojim	astagfirullahaladzim
astul	asal tulis
asuuu	asu
asyikkkkk	asyik
atassan	atasan
atassss	atas
ath	kalau begitu
ati"	hati-hati
ati2	hati-hati
ato	atau
ats	atas
atu	satu
atuh	kalau begitu
atuhh	atuh
atuhhh	atuh
atutt	takut
atuu	satu
atw	atau
au ah	tidak mau tahu
aurot	aurat
autuhh	tau tuh
ava	avatar
awaas	awas
awak	saya
awal2	awal-awal
awalny	awalnya
awk	awak
awl	awal
awoohhh	allah
aws	awas
ay	sayang
ayahh	ayah
ayang	sayang
ayank	sayang
ayok	ayo
ayoklaa	ayolah
ayoo	ayo
ayooo	ayo
ayoook	ayo
ayoookkkkkk	ayo
ayoooo	ayo
ayooook	ayo
ayuk	ayo
ayukk	yuk
aza	saja
azaab	azab
azeeeek	asik
azekkkk	asik
b'sama	bersama
b2	berdua
b2an	berduaan
b3	bertiga
b4	sebelum
baaaaaang	bang
baaiikkk	baik
baang	bang
baanget	banget
baanggeettt	banget
babget	banget
baca2	baca-baca
bacaaaa	baca
bacahalah	bacalah
bacot	banyak bicara
bacotin	bacoti
badaaiii	badai
badaii	badai
badingkan	membandingkan
bae2	baik-baik
baek	baik
baek2	baik-baik
bag	bagian
bagaatt	banget
bagaimanaaa	bagaimana
bagaimna	bagaimana
baget	banget
bagi2	bagi-bagi
bagiii	bagi
bagiin	bagikan
bagiin	membagikan
bagus2	bagus-bagus
bagusnyeee	bagusnya
baguss	bagus
bagusss	bagus
bagussss	bagus
baguusss	bagus
baguuus	bagus
baguuuuus	bagus
bahas2	bahas-bahas
baik2	baik-baik
baik2nya	baik-baiknya
baikk	baik
baikxa	baiknya
baik²	baik-baik
baju'a	bajunya
baju.a	bajunya
baju2	baju-baju
bakalan	akan
bakar2in	bakar-bakari
bakattt	bakat
bale	balai
bales	balas
bales2in	balas-membalas
balesin	membalas
bandes	bantuan desa
bandingin	bandingkan
bangat	banget
bangcat	bangsat
bangdes	pembangunan desa
banged	banget
bangedd	banget
bangedh	banget
bangedt	banget
bangeeeeetttt	banget
bangeeeet	banget
bangeeet	banget
bangeeettt	banget
bangeer	banget
bangeet	banget
bangeet	sangat
bangeett	banget
bangeettt	banget
banger	banget
bangets	banget
bangett	banget
bangettt	banget
bangetttt	banget
bangettttt	banget
bangetttttt	banget
bangettttttt	banget
bangetttttttt	banget
bangetttttyt	banget
bangg	bang
bangga"in	membangga-banggakan
bangga2in	membangga-banggakan
banggain	banggakan
banggain"	membangga-banggakan
bangget	banget
banggett	banget
bangke	bangkai
bangkotan	tua
bangkret	bangkrut
bangrt	banget
bangshad	bangsat
bangt	banget
bangt"	banget-banget
banhet	banget
banpol	bantuan polisi
banpres	bantuan presiden
banpur	bantuan tempur
bansarkas	bantuan sarana kesehatan
bante	bantai
bantiannya	bantuannya
bantuanny	bantuannya
bantuim	bantu
banx	bang
banyaaaaaak	banyak
banyaaaak	banyak
banyaak	banyak
banyak2	banyak-banyak
banyakin	membanyaki
bape	bawa perasaan
bapeeeer	bawa perasaan
bapeerr	bawa perasaan
baper	bawa perasaan
baperr	bawa perasaan
baraang	barang
barang"	barang-barang
barang'a	barangnya
barang2	barang-barang
barangx	barangnya
barang²	barang-barang
barenf	bersama
bareng	bersama
bareng-bareng	bersama-sama
bareng2	bersama-saa
barengg	bareng
barokah	berkah
baru2	baru-baru
baruu	baru
basbang	basi
basodaraa	bersaudara
bat	banget
batalin	batalkan
batalinnya	membatalkannya
batesin	batasi
batikk	batik
battt	banget
batwc	banget
bawa"	bawa-bawa
bawa2	bawa-bawa
bawain	bawakan
bawak	bawa
bayangin	bayangkan
bazengg	bajingan
bazis	badan amal, zakat, infak, dan sedekah
bbrp	beberapa
bbrpa	beberapa
bc	baca
bca	baca
bcanda	bercanda
bcnda	bercanda
bcoz	karena
bdampingan	berdampingan
bdan	badan
bdg	bandung
bdn	badan
beb	sayang
bebrp	beberapa
beda2	beda-beda
bedaa	beda
bedaaa	beda
bedain	membedakan
bedainnya	membedakannya
bedanyaaa	bedanya
bedua	berdua
begajulan	nakal
begete	banget
beginii	begini
beginiiii	begini
begok	bego
bejibun	banyak
bejilbbnya	berjilbabnya
bela"in	membela-bela
bela2in	membela-bela
belain	membela
belain"	membela-bela
belanjaa	belanja
beliiin	belikan
beliin	belikan
beliin	membelikan
belikan	membelikan
bellain	membela
belom	belum
belooomm	belum
beluumm	belum
benahin	membenahi
benar"	benar-benar
benar2	benar-benar
benarin	membenarkan
benarr	benar
bencong	banci
benda2	benda-benda
bener	benar
bener"	benar-benar
bener2	benar-benar
beneraan	benaran
beneran	benaran
benerr	benar
benet	benar
benetaran	benaran
bengkak2	bengkak-bengkak
benneeeeeerr	benar
bentar	sebentar
bentarr	bentar
ber x2	berkali-kali
ber'expresi	berekspresi
ber2	berdua
ber3	bertiga
berabotan	perabotan
berangat	berangkat
berani2	berani-berani
berarto	berarti
berasanya	rasanya
berati	berarti
beratttttttt	berat
berbakiti	berbakti
berbeda2	berbeda-beda
berbiiiiiihhh	barbie
berdikari	berdiri di atas kaki sendiri
berenanh	berenang
beresin	membereskan
berfikir	berpikir
bergunaa	berguna
berhijap	berhijab
berjinah	berzina
berkluarga	berkeluarga
bermaksut	bermaksud
bermanpaat	bermanfaat
berminggu2	beminggu-minggu
berntung	beruntung
berres	beres
bertambh	bertambah
bertatto	bertato
bertele2	bertele-tele
bertolernsi	bertoleransi
berturut2	berturut-turut
beruntungnyaaaa	beruntungnya
besar"	besar-besar
besar2an	besar-besaran
besar2in	besar-besarkan
besarin	membesarkan
besokkk	besok
besok²	besok-besok
besook	besok
bet	banget
bete	bosan
beti	beda tipis
bets	banget
bettt	banget
betul2	betul-betul
betuuuuulllllllllllllllll	betul
beud	banget
beudd	banget
beut	banget
bg	abang
bg	bang
bgaimna	bagaimana
bgd	banget
bgect	banget
bget	banget
bgettt	banget
bgi	bagi
bgini	begini
bgitu	begitu
bgmana	bagaimana
bgmn	bagaimana
bgmna	bagaimana
bgni	begini
bgni	seperti ini
bgs	bagus
bgt	banget
bgtt	banget
bgttt	banget
bgtttt	banget
bgttttttt	banget
bgtttttttt	banget
bgtu	begitu
bgtuu	begitu
bgun	bangun
bgus	bagus
bgussss	bagus
bhagaia	bahagia
bhagia	bahagia
bhas	bahas
bhet	banget
bhgia	bahagia
bhgiain	membahagiakan
bhijab	berhijab
bhkn	bahkan
bhn	bahan
bhnya	bahannya
bhs	bahasa
bhubu	tidur
bhw	bahwa
bhwa	bahwa
biarin	biarkan
biasa2	biasa-biasa
biasaa	biasa
biasaaa	biasa
biasaaaa	biasa
biasahhh	biasa
bijak2	bijak-bijak
bijimane	bagaimana
bijin	bikin
bikinin	bikin
bikinin	bikinkan
bikinin	membikin
bikinnn	bikin
bil	bilang
bilang	mengatakan
bilang"	bilang-bilang
bilang2	bilang-bilang
bilange	bilangnya
bilangg	bilang
bilangin	bilang
bilangny	bilangnya
bilanh	bilang
bilng	bilang
bimbugannya	bimbingannya
bimbuluh	bimbingan dan penyuluhan
binggo	banget
bingiiittttzzzz	banget
bingiiittzz	banget
bingiit	banget
bingiittt	banget
bingit	banget
bingits	banget
bingitss	banget
bingitsss	banget
bingitt	banget
bingittzz	banget
bingitzzzz	banget
binkai	bingkai
bintal	bimbingan mental
bintangqu	bintangku
bird	biru
biri	biru
bisaa	bisa
bisaaa	bisa
bisax	bisanya
bisi	kalau-kalau
biza	bisa
bju	baju
bka	buka
bkal	bakal
bkan	bukan
bkin	bikin
bkin	membuat
bkl	akan
bkl	bakal
bkln	bakalan
bkn	bikin
bkn	bukan
bknnya	bukannya
bl	beli
bl	bulan
blajar	belajar
blakon	berlakon
blan	bulan
blegug	bodoh
bleh	boleh
blg	bilang
blh	boleh
bli	beli
bli2n	beli-belikan
blik	balik
blim	belum
bljr	belajar
blkang	belakang
blkng	belakang
blln	bulan
blm	belum
bln	bulan
blng	bilang
blnja	belanja
bloghhh	goblok
blom	belum
bls	balas
blum	belum
bnchi	benci
bnci	benci
bnda	bunda
bner	benar
bner"	benar-benar
bner2	benar-benar
bneraan	benaran
bneran	benaran
bnern	benaran
bnerr	benar
bng	bang
bngatt	banget
bngeeeetttt	banget
bngeet	banget
bnget	banget
bngett	banget
bngettt	banget
bngetttt	banget
bnggain	banggakan
bngkit	bangkit
bngt	banget
bngtt	banget
bngttt	banget
bngtttt	banget
bngtzt	banget
bngun	bangun
bngung	bingung
bngunlah	bangunlah
bngy	banget
bnk	bang
bnr	benar
bnr2	benar-benar
bnran	benaran
bnran	yang benar
bnrn	benaran
bntar	bentar
bntr	bentar
bntu	bantu
bnus	bonus
bnyak	banyak
bnyk	banyak
bo'ong	bohong
bodhoo	bodoh
bodhooo	bodoh
bodor	lucu
bogut	bogor utara
bohay	badan aduhai
bokap	ayah
bokep	video porno
boker	berak
boker	buang air besar
bokin	pacar
bokis	bohong
bol3h	boleh
bolang	bocah petualang
bole	boleh
boleh2	boleh-boleh
boljug	boleh juga
bolllleeehhhh	boleh
bolot	bodoh
bonek	bocah nekat
bonus2	bonus-bonus
bonusq	bonusku
bonyok	ayah ibu
boong	bohong
boro2	boro-boro
bosaan	bosan
bosen	bosan
bosen2	bosan-bosan
bosenin	membosankan
boss	bos
botakin	botaki
botakkkk	botak
boyeh	boleh
bp	bapak
bpk	bapak
bpkmu	bapakmu
bpknya	bapaknya
br	baru
brada	berada
bradegan	beradegan
brang	barang
brangnya	barangnya
brani	berani
branjak	beranjak
brantem	berantem
brapa	berapa
brarti	berarti
brasa	berasa
brayyy	bray
brb	segera kembali
brbagai	berbagai
brbakti	berbakti
brbuat	berbuat
brdiri	berdiri
brdua	berdua
brengsekk	brengsek
bres	beres
brfikir	berpikir
brg	barang
brg	bareng
brg"	bareng-bareng
brgbung	bergabung
brgny	barangnya
brhasil	berhasil
brhjb	berhijab
brhnti	berhenti
brisi	berisi
brisik	berisik
brita	berita
britanya	beritanya
brjdh	berjodoh
brjodoh	berjodoh
brkah	berkah
brkenan	berkenan
brkunjun	berkunjung
brng	barang
brngkt	berangkat
brngku	barangku
brngny	barangnya
bro	saudara laki-laki
bronis	brondong manis
brp	berapa
brpa	berapa
brpndapat	berpendapat
brrt	berarti
brrti	berarti
brsama	bersama
brsma	bersama
brsyukur	bersyukur
brtngkar	bertengkar
bru	baru
brubah	berubah
brubah2	berubah-ubah
brur	saudara laki-laki
brusaha	berusaha
bs	bisa
bsa	bisa
bsen	bosan
bsk	besok
bsok	besok
bt	bosan sekali
bt	buat
bth	butuh
btuh	butuh
btul	betul
btulan	betulan
btw	ngomong-ngomong
bu	ibu
bu_bu	tidur
buah hatiku	anakku
buanget	banget
buanyaaak	banyak
buat	untuk
buatin	buatkan
buatin	membuat
buaya	tidak setia
bubarin	bubarkan
bubbu	tidur
buber	buka bersama
bubu	tidur
buibu	ibu-ibu
bujngn	bujangan
bujubune	luar biasa
bujukk	bujuk
buk	ibu
buka2	buka-buka
buka2an	buka-bukaan
bukak	buka
bukan'a	bukannya
bukn	bukan
bukq	bukuku
bukti2	bukti-bukti
buktii	bukti
buktiin	buktikan
buktiin	membuktikan
buktinyaaa	buktinya
bulan2	bulan-bulan
bulet	bulat
buln	bulan
bumil	ibu hamil
bun	bunda
bund	bunda
bunda"	bunda-bunda
bunda2	bunda-bunda
bundaa	bunda
bundaaa	bunda
bundaaaa	bunda
bundsay	bunda sayang
bunga2	bunga-bunga
bungggg	bung
bungkusin	bungkuskan
bungkuuussss	bungkus
bungkuuuuuuuuusss	bungkus
burem	buram
buru2	buru-buru
buruann	buruan
buruannn	buruan
busay	bunda sayang
busedh	buset
buseett	buset
buser	buru sergap
buuun	bun
bw	bawa
bwa"	bawa-bawa
bwd	buat
bwhn	bawahan
bwhnya	bawahnya
bwt	buat
byak	banyak
byangin	membayangkan
byar	bayar
byaran	bayaran
byk	banyak
byr	bayar
byrin	bayarkan
bz	bisa
c	sih
c8	chat
caaannnttiikkk	cantik
caaiirr	cair
caantiiik	cantik
cab	cabang
cabal	sabar
cabe2	cabe-cabe
cabe2an	cabe-cabean
cabol	cabul
cabut	pergi
cadas	keren
cadasss	cadas
caem	cakep
cair2	cair-cair
cairin	mencairkan
cakeeeeppp	cakep
cakeep	cakep
cakepp	cakep
cali	caci
calo	makelar
cama-cama	sama-sama
campurin	mencampuri
can	belum
canci	cantik
cangcut	celana dalam
cannnnntikkkkkkk	cantik
cannntikk	cantik
cans	cantik
canteek	cantik
canti	cantik
cantiiiiiiik	cantik
cantiiiik	cantik
cantiiiikk	cantik
cantiiik	cantik
cantiiikk	cantik
cantiiikkk	cantik
cantiiillx	cantik
cantiik	cantik
cantiik2	cantik-cantik
cantiikk	cantik
cantiikkkk	cantik
cantik2	cantik-cantik
cantik2nya	cantik-cantiknya
cantika	cantik
cantikk	cantik
cantikkk	cantik
cantikkkk	cantik
cantikkkkk	cantik
cantikkkkkk	cantik
cantikkkkkkkk	cantik
cantikkkm	cantik
cantiknnnnyaaaaaaa	cantiknya
cantiknyaa	cantiknya
cantiknyaaa	cantiknya
cantiknyaaaaa	cantiknya
cantiks	cantik
cantikx	cantiknya
cantinya	cantiknya
cantip	cantik
cantiq	cantik
cantiqs	cantik
cantix	cantik
cantk	cantik
canttikkk	cantik
canttttikkk	cantik
canyk	cantik
capa	sapa
capcus	pergi
cape	capai
cape	capek
capee	capai
capee	cape
capek	capai
caper	cari perhatian
cara'y	caranya
caranga	caranya
carax	caranya
cari2	cari-cari
cariin	carikan
casout	cashout
catet	catat
catiiiiik	cantik
catokin	catok
caur	jelek
caya	percaya
cb	coba
cba	coba
cbg	cabang
ccok	cocok
cd	celana dalam
ce	cewek
ceemen	cemen
cek2	cek-cek
cekak	tidak ada uang
cekal	cegah tangkal
cekidot	coba lihat
ceklist	ceklis
cem	macam
cemburuu	cemburu
cemen	penakut
cemplungin	cemplungkan
cempreeng	cempreng
cemunguttttt	semangat
cengengesan	tertawa
centillll	centil
centilnyaaaaaa	centilnya
ceper	pendek
cepet	cepat
cepet2	cepat-cepat
cepetan	cepatan
cepetttt	cepat
cerdass	cerdas
cerdiik	cerdik
ceritax	ceritanya
ceu	kakak perempuan
cew	cewek
cewe	cewek
cewer	jewer
chas out	cashout
chelalyyu	selalu
choker2	choker-choker
chuyunk	sayang
ciapa	siapa
cibuk	sibuk
cicilanny	cicilannya
ciee	cie
cieee	cie
cieeee	cie
cieeeee	cie
ciieeeeeee	cie
ciiieee	cie
cimeng	ganja
cin	cinta
cinggirnyaaaa	cinggirnya
cini	sini
cino	cina
cintaaaaaaa	cinta
cintax	cintanya
cipika cipiki	cium pipi kanan cium pipi kiri
ciptain	ciptakan
ciptain	menciptakan
cita"	cita-cita
cita2	cita-cita
cita2nya	cita-citanya
citebon	cirebon
ciumman	ciuman
ciusss	serius
ciuuuummmm	cium
ciye	cie
ciyeeee	cie
ciyeeeeeee	cie
ciyh	sih
ciyusss	serius
ckck	ck
ckepp	cakep
ckp	cakep
ckp	cukup
ckrng	sekarang
ckup	cukup
clbk	cinta lama bersemi kembali
cm	cuma
cma	cuma
cman	cuman
cmiiw	correct me if i'm wrong
cmkn	camkan
cmn	cuman
cmpr	campur
cmpur	campur
cnenk	senang
cntiiikkk	cantik
cntik	cantik
cntikan	cantikan
cntikk	cantik
cntiknya	cantiknya
cntk	cantik
co	cowok
cobaa	coba
cobaaa	coba
cobaaaa	coba
cobain	coba
cobain	cobakan
cobain	mencoba
cobak	coba
coccokk	cocok
cock	cocok
cocokk	cocok
cocokkk	cocok
cocokkkk	cocok
cocokkkkk	cocok
cocokny	cocoknya
cocokx	cocoknya
cocook	cocok
cocookk	cocok
coeggg	coeg
cogan	cowok ganteng
comen	komen
comen	komentar
comen2nya	komen-komennya
comen2nya	komentar-komentarnya
coment	komen
coment	komentar
comment2nya	komentar-komentarnya
comnet	komen
comnet	komentar
comntr	komentar
cong	banci
congor	mulut
conlok	cinta lokasi
cooocok	cocok
cooooooocok	cocok
coret"	coret-coret
cow	cowok
cowo	cowok
cowwyy	maaf
coxok	cocok
coyyy	coy
coz	karena
cp	siapa
cpa	siapa
cpe	capek
cpet	cepat
cpit	sipit
cppa	siapa
cppe	capek
cpt	cepat
cr	cara
cri	cari
critamu	ceritamu
crta	cerita
crx	caranya
cuaaantikk	cantik
cuaantik	cantik
cuantek	cantik
cuanti	cantik
cuantik	cantik
cuantikkk	cantik
cubanget	lucu banget
cuchook	cocok
cuco	cocok
cucok	cocok
cucokkk	cocok
cuek	tidak acuh
cuex	cuek
cukurrr	cukur
cuman	Cuma
cumi	Cuma miscall
cumn	cuman
cums	cuma
cungkring	kurus tinggi
cups	culun
cupu	culun
curas	pencurian dengan kekerasan
curcol	curahan hati colongan
curhat	curahan hati
curhat2	curhat-curhat
cust	customer
cuyy	cuy
cuyyy	cuy
cw	cewek
cwe	cewek
cwek	cewek
cwnya	ceweknya
cwo	cowok
cwok	cowok
cyiiin	cinta
cyin	cinta
cz	karena
d	ada
d	di
d'madrasah	di madrasah
d.apa	diapa
d.bikinin	dibikin
da	ada
da	dah
da	sudah
daaaah	deh
daaah	dah
daah	dah
daah	deh
daftarin	daftarkan
dagh	sudah
dah	deh
dah	sudah
dahh	dah
dahh	deh
dahhhh	dah
dak	indak
dalem2	dalam-dalam
dalil2	dalil-dalil
dallam	dalam
damang	sehat
daoat	dapat
dapatkn	dapatkan
dapet	dapat
dapetin	mendapati
dapetin	mendapatkan
dapetnya	dapatnya
darpada	daripada
dasaar	dasar
dasarrr	dasar
dasyat	dahsyat
datang2	datang-datang
dateng	datang
dateng"	datang-datang
dberi	diberi
dblkang	dibelakang
dblkng	dibelakang
dbnding	dibanding
dbuat	dibuat
dbuka	dibuka
dbwh	dibawah
dcintai	dicintai
dciterup	di citerup
ddlm	di dalam
ddpat	didapat
ddpt	didapat
de	adik
de	deh
de	dek
debay	adek bayi
dech	deh
dede	adek
dedek	adek
dedeknya	adeknya
dee	dek
deeek	dek
deeh	deh
deg2an	deg-degan
dehat	sehat
dehh	deh
dehhh	deh
dehhhh	deh
dek	adik
deket	dekat
deket2	dekat-dekat
deketin	dekati
dekk	dek
dekkk	dek
dekt	dekat
demen	suka
dempga	semoga
dengarin	mendengarkan
dengeeriin	dengarkan
denger	dengar
dengerin	dengarkan
dengerin	mendengarkan
deuhh	duh
dewassa	dewasa
deyh	deh
dftarin	daftarkan
dftr	daftar
dftrkan	daftarkan
dftrn	daftarkan
dg	dengan
dgn	dengan
dgr	dengar
dgrup	di grup
dh	dah
dh	deh
dh	sudah
dhe	deh
dhi	di
dhpusin	dihapuskan
diaa	dia
diaaa	dia
diajarin	diajari
diakibtkn	diakibatkan
diam"	diam-diam
diamkn	diamkan
diancurin	dihancurkan
dianter	diantar
dianterin	diantar
dianterin	diantarkan
diapa2in	diapa-apai
diapain	diapakan
dibangga'in	dibangga-banggakan
dibanggain	dibanggakan
dibiarin	dibiarkan
dibikin2	dibikin-bikin
dibkatakan	dikatakan
dibls	dibalas
dibnggain	dibanggakan
didapet	didapat
didatengin	didatangi
didengerin	didengarkan
dieee	dia
diem	diam
diem2	diam-diam
diemin	diamkan
diemm	diam
difb	di facebook
difotoin	difoto
digabtikan	digantikan
digambarin	digambarkan
diginiin	dibeginikan
diginikan	dibeginikan
digituin	dibegitukan
digosipin	digosipkan
dihargain	dihargai
dihh	dih
dihpus	dihapus
dihub	dihubungi
dii	di
diidam2kan	diidam-diamkan
diihhhh	dih
diindonesis	diindonesia
diingetin	diingatkan
dijabah	diijabah
dijadiin	dijadikan
dijelekin	dijelekkan
dijkt	dijakarta
dijwb	dijawab
dikata2in	dikata-katai
dikatain	dikatai
dikemanain	dikemanakan
dikerasin	dikerasi
dikit2	sedikit-sedikit
diksi	dikasih
dikumpulin	dikumpulkan
diladenin	diladeni
dilepas2	dilepas-lepas
diliat	dilihat
diliatnya	dilihatnya
dilindungin	dilindungi
dilirik2	dilirik-lirik
diluangin	diluangkan
diluarann	diluaran
dimaafin	dimaafkan
dimana"	dimana-mana
dimana2	dimana-mana
dimao	dimau
dimarahin	dimarahi
dimasukin	dimasuki
dimasukin	dimasukkan
dimintak	diminta
dimna	dimana
dimusiumin	dimuseumkan
dinamakn	dinamakan
dingin"	dingin-dingin
dinyanyiin	dinyanyikan
dipake	dipakai
dipermainin	dipermainkan
dipikirin	dipikirkan
dipojokin	dipojokkan
dipuja2	dipuja-puja
diputusin	diputuskan
dirakitin	dirakitkan
dirimuuu	dirimu
dirmh	dirumah
dirumahny	dirumahnya
disiniii	disini
disni	disini
disono	di sana
disupirin	disopiri
ditawarin	ditawarkan
ditayangin	ditayangkan
ditengah2	ditengah-tengah
ditgg	ditunggu
ditlp	ditelepon
ditransper	ditransfer
dituker	ditukar
ditutupin	ditutupi
dituutup	ditutup
diuber	dikejar
diurusin	diurusi
